time,asset1_depthofdischarge
0,0
1,6.5E-05
2,0.00013
3,0.00019499999999999997
4,0.00026
5,0.000325
6,0.00039
7,0.000455
8,0.00052
9,0.0005849999999999999
10,0.0006499999999999999
11,0.0007949999999999999
12,0.0009399999999999999
13,0.0010849999999999998
14,0.0012299999999999998
15,0.0013749999999999997
16,0.0015199999999999997
17,0.0016649999999999996
31,0.0017299999999999996
32,0.0017949999999999995
33,0.0018599999999999995
34,0.0019249999999999994
35,0.0019899999999999996
36,0.0020549999999999995
37,0.0021199999999999995
38,0.0021849999999999994
39,0.0022499999999999994
40,0.0023149999999999993
41,0.0024599999999999995
42,0.0026049999999999997
43,0.00275
44,0.002895
45,0.00304
46,0.0031850000000000003
47,0.0033300000000000005
61,0.0033950000000000004
62,0.0034600000000000004
63,0.0035250000000000004
64,0.0035900000000000003
65,0.0036550000000000003
66,0.00372
67,0.003785
68,0.00385
69,0.003915
70,0.00398
71,0.004125
72,0.00427
73,0.0044150000000000005
74,0.004560000000000001
75,0.004705000000000001
76,0.004850000000000001
77,0.004995000000000001
